channeling skill,level,class,spell,hits,result,level gap
110,21,Magician,Gate,2,Failure,17
110,21,Magician,Gate,1,Failure,17
110,21,Magician,Shock of Flame,1,Success,0
110,21,Magician,Renew Summoning,1,Failure,0
110,21,Magician,Renew Summoning,1,Failure,0
110,21,Magician,Shield of Flame,2,Failure,0
110,21,Magician,Shock of Flame,1,Failure,0
110,22,Magician,Shock of Flame,1,Failure,0
111,22,Magician,Shock of Flame,1,Success,0
115,22,Magician,Shock of Flame,1,Failure,0
115,22,Magician,Lesser Summoning: Fire,1,Success,0
115,22,Magician,Shock of Flame,1,Success,0
115,22,Magician,Shock of Flame,1,Failure,0
210,55,Druid,Grasping Roots,1,Success,50
210,55,Druid,Grasping Roots,1,Success,50
210,55,Druid,Spirit of Wolf,1,Success,41
210,55,Druid,Grasping Roots,2,Success,50
210,55,Druid,Grasping Roots,1,Success,50
210,55,Druid,Grasping Roots,1,Success,50
210,55,Druid,Drones of Doom,1,Success,21
210,55,Druid,Grasping Roots,1,Success,50
210,55,Druid,Grasping Roots,1,Success,50
210,55,Druid,Wrath of Nature,1,Success,0
210,55,Druid,Ensnare,3,Failure,26
210,55,Druid,Drones of Doom,1,Failure,21
210,55,Druid,Engulfing Roots,2,Success,0
210,55,Druid,Wrath of Nature,1,Failure,0
210,55,Druid,Wrath of Nature,2,Failure,0
210,55,Druid,Engulfing Roots,1,Failure,0
210,55,Druid,Engulfing Roots,1,Failure,0
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Engulfing Roots,2,Failure,0
210,55,Druid,Engulfing Roots,2,Success,0
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Engulfing Roots,1,Failure,0
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Scoriae,2,Success,0
210,55,Druid,Scoriae,1,Success,0
210,55,Druid,Drones of Doom,3,Failure,21
210,55,Druid,Ensnare,1,Success,26
210,55,Druid,Superior Camouflage,1,Failure,36
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Engulfing Roots,2,Failure,0
210,55,Druid,Engulfing Roots,2,Failure,0
210,55,Druid,Engulfing Roots,2,Success,0
210,55,Druid,Wrath of Nature,2,Failure,0
210,55,Druid,Ensnare,1,Success,26
210,55,Druid,Engulfing Roots,1,Failure,0
210,55,Druid,Engulfing Roots,2,Success,0
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Ensnare,1,Success,26
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Ensnare,1,Success,26
210,55,Druid,Drones of Doom,1,Failure,21
210,55,Druid,Drones of Doom,1,Success,21
210,55,Druid,Drones of Doom,1,Success,21
210,55,Druid,Winged Death,1,Success,0
210,55,Druid,Drones of Doom,1,Success,21
210,55,Druid,Drones of Doom,1,Success,21
210,55,Druid,Drones of Doom,2,Failure,21
210,55,Druid,Drones of Doom,1,Success,21
210,55,Druid,Drones of Doom,4,Failure,21
210,55,Druid,Wrath of Nature,2,Failure,0
210,55,Druid,Drones of Doom,2,Failure,21
210,55,Druid,Drones of Doom,2,Failure,21
210,55,Druid,Drones of Doom,3,Success,21
210,55,Druid,Drones of Doom,2,Failure,21
210,55,Druid,Drones of Doom,1,Success,21
210,55,Druid,Wrath of Nature,1,Success,0
210,55,Druid,Drones of Doom,1,Failure,21
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Fixation of Ro,1,Success,11
210,55,Druid,Superior Healing,1,Failure,0
210,55,Druid,Engulfing Roots,1,Failure,0
210,55,Druid,Superior Healing,2,Failure,0
210,55,Druid,Superior Healing,2,Failure,0
210,55,Druid,Wrath of Nature,1,Failure,0
210,55,Druid,Wrath of Nature,1,Failure,0
210,55,Druid,Girdle of Karana,1,Success,0
210,55,Druid,Engulfing Roots,1,Failure,0
210,55,Druid,Engulfing Roots,1,Success,0
210,55,Druid,Winged Death,1,Failure,0
211,56,Druid,Engorging Roots,1,Failure,0
211,56,Druid,Engorging Roots,1,Success,0
211,56,Druid,Engorging Roots,2,Failure,0
211,56,Druid,Engorging Roots,1,Success,0
211,56,Druid,Winged Death,3,Failure,0
211,56,Druid,Wrath of Nature,1,Failure,0
211,56,Druid,Succor: Ro,7,Success,17
211,56,Druid,Superior Healing,3,Success,0
211,56,Druid,Wrath of Nature,3,Failure,0
211,56,Druid,Upheaval,1,Success,0
211,56,Druid,Upheaval,2,Success,0
